"Lake","Parameter","Value"
"Sc","T_C",12.86
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3361
"Sc","EC25_uScm",458.559
"Sc","Density_kgm3",999.598
"Sc","Chla_ugL",1.46
"Sc","Turbidity_FTU",1.04
"Sc","DO_pc",14.31
"Sc","DO_mgL",1.506
"Sc","Depth_m",7.9
"Sc","T_C",12.676
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3363
"Sc","EC25_uScm",461.331
"Sc","Density_kgm3",999.623
"Sc","Chla_ugL",1.56
"Sc","Turbidity_FTU",1.14
"Sc","DO_pc",14.16
"Sc","DO_mgL",1.494
"Sc","Depth_m",8
"Sc","T_C",12.59
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3344
"Sc","EC25_uScm",459.946
"Sc","Density_kgm3",999.633
"Sc","Chla_ugL",1.25
"Sc","Turbidity_FTU",0.99
"Sc","DO_pc",13.82
"Sc","DO_mgL",1.461
"Sc","Depth_m",8.1
"Sc","T_C",12.471
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3335
"Sc","EC25_uScm",460.337
"Sc","Density_kgm3",999.648
"Sc","Chla_ugL",1.26
"Sc","Turbidity_FTU",0.92
"Sc","DO_pc",13.58
"Sc","DO_mgL",1.441
"Sc","Depth_m",8.2
"Sc","T_C",12.35
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3331
"Sc","EC25_uScm",461.58
"Sc","Density_kgm3",999.663
"Sc","Chla_ugL",1.3
"Sc","Turbidity_FTU",1.03
"Sc","DO_pc",13.1
"Sc","DO_mgL",1.393
"Sc","Depth_m",8.3
"Sc","T_C",12.302
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3328
"Sc","EC25_uScm",461.747
"Sc","Density_kgm3",999.67
"Sc","Chla_ugL",1.42
"Sc","Turbidity_FTU",0.97
"Sc","DO_pc",12.68
"Sc","DO_mgL",1.35
"Sc","Depth_m",8.4
"Sc","T_C",12.254
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3326
"Sc","EC25_uScm",462.178
"Sc","Density_kgm3",999.676
"Sc","Chla_ugL",1.34
"Sc","Turbidity_FTU",0.89
"Sc","DO_pc",11.93
"Sc","DO_mgL",1.272
"Sc","Depth_m",8.5
"Sc","T_C",12.212
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.332
"Sc","EC25_uScm",461.907
"Sc","Density_kgm3",999.681
"Sc","Chla_ugL",1.41
"Sc","Turbidity_FTU",0.88
"Sc","DO_pc",11.13
"Sc","DO_mgL",1.188
"Sc","Depth_m",8.6
"Sc","T_C",12.152
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3312
"Sc","EC25_uScm",461.726
"Sc","Density_kgm3",999.688
