"Lake","Parameter","Value"
"Hs","Density_kgm3",999.564
"Hs","Chla_ugL",10.05
"Hs","Turbidity_FTU",6.26
"Hs","DO_pc",6.54
"Hs","DO_mgL",0.687
"Hs","Depth_m",7
"Hs","T_C",13.105
"Hs","Salinity",0.2
"Hs","Cond_uScm",0.3191
"Hs","EC25_uScm",432.241
"Hs","Density_kgm3",999.554
"Hs","Chla_ugL",11.07
"Hs","Turbidity_FTU",6.58
"Hs","DO_pc",5.94
"Hs","DO_mgL",0.626
"Hs","Depth_m",7.1
"Hs","T_C",12.465
"Hs","Salinity",0.203
"Hs","Cond_uScm",0.3192
"Hs","EC25_uScm",440.706
"Hs","Density_kgm3",999.636
"Hs","Chla_ugL",41.13
"Hs","Turbidity_FTU",13.48
"Hs","DO_pc",5.09
"Hs","DO_mgL",0.545
"Hs","Depth_m",7.2
"Hs","T_C",11.903
"Hs","Salinity",0.206
"Hs","Cond_uScm",0.3201
"Hs","EC25_uScm",449.596
"Hs","Density_kgm3",999.705
"Hs","Chla_ugL",63.67
"Hs","Turbidity_FTU",16.35
"Hs","DO_pc",4.29
"Hs","DO_mgL",0.46
"Hs","Depth_m",7.3
"Hs","T_C",11.705
"Hs","Salinity",0.208
"Hs","Cond_uScm",0.3211
"Hs","EC25_uScm",453.82
"Hs","Density_kgm3",999.729
"Hs","Chla_ugL",126.38
"Hs","Turbidity_FTU",20.08
"Hs","DO_pc",3.69
"Hs","DO_mgL",0.398
"Hs","Depth_m",7.4
"Hs","T_C",11.479
"Hs","Salinity",0.21
"Hs","Cond_uScm",0.3223
"Hs","EC25_uScm",458.739
"Hs","Density_kgm3",999.756
"Hs","Chla_ugL",134.67
"Hs","Turbidity_FTU",17.37
"Hs","DO_pc",3.13
"Hs","DO_mgL",0.34
"Hs","Depth_m",7.5
"Hs","T_C",11.384
"Hs","Salinity",0.21
"Hs","Cond_uScm",0.3219
"Hs","EC25_uScm",459.54
"Hs","Density_kgm3",999.767
"Hs","Chla_ugL",126.46
"Hs","Turbidity_FTU",17.2
"Hs","DO_pc",2.31
"Hs","DO_mgL",0.252
"Hs","Depth_m",7.6
"Hs","T_C",11.197
"Hs","Salinity",0.211
"Hs","Cond_uScm",0.322
"Hs","EC25_uScm",462.365
"Hs","Density_kgm3",999.788
"Hs","Chla_ugL",80.09
"Hs","Turbidity_FTU",13.99
"Hs","DO_pc",2.01
"Hs","DO_mgL",0.22
"Hs","Depth_m",7.7
"Hs","T_C",11.028
"Hs","Salinity",0.212
"Hs","Cond_uScm",0.3217
"Hs","EC25_uScm",464.436
"Hs","Density_kgm3",999.807
"Hs","Chla_ugL",54.79
"Hs","Turbidity_FTU",12.42
"Hs","DO_pc",1.74
"Hs","DO_mgL",0.19
"Hs","Depth_m",7.8
"Hs","T_C",10.979
"Hs","Salinity",0.213
"Hs","Cond_uScm",0.3224
"Hs","EC25_uScm",466.23
"Hs","Density_kgm3",999.813
"Hs","Chla_ugL",51.11
"Hs","Turbidity_FTU",10.77
"Hs","DO_pc",1.23
"Hs","DO_mgL",0.135
"Hs","Depth_m",7.9
"Hs","T_C",10.834
"Hs","Salinity",0.212
"Hs","Cond_uScm",0.3195
"Hs","EC25_uScm",464.188
"Hs","Density_kgm3",999.827
"Hs","Chla_ugL",37.16
"Hs","Turbidity_FTU",10.38
"Hs","DO_pc",1.14
"Hs","DO_mgL",0.125
"Hs","Depth_m",8
"Hs","T_C",10.691
"Hs","Salinity",0.212
"Hs","Cond_uScm",0.3189
"Hs","EC25_uScm",465.411
"Hs","Density_kgm3",999.842
"Hs","Chla_ugL",31.77
"Hs","Turbidity_FTU",9.57
"Hs","DO_pc",1.07
"Hs","DO_mgL",0.119
"Hs","Depth_m",8.1
"Hs","T_C",10.52
"Hs","Salinity",0.212
"Hs","Cond_uScm",0.3176
"Hs","EC25_uScm",466.075
"Hs","Density_kgm3",999.859
"Hs","Chla_ugL",26.81
"Hs","Turbidity_FTU",8.63
"Hs","DO_pc",0.94
"Hs","DO_mgL",0.104
"Hs","Depth_m",8.2
"Hs","T_C",10.395
"Hs","Salinity",0.212
"Hs","Cond_uScm",0.3168
"Hs","EC25_uScm",466.794
"Hs","Density_kgm3",999.871
"Hs","Chla_ugL",25.04
"Hs","Turbidity_FTU",8.41
"Hs","DO_pc",0.82
"Hs","DO_mgL",0.092
"Hs","Depth_m",8.3
"Hs","T_C",10.31
"Hs","Salinity",0.213
"Hs","Cond_uScm",0.3169
"Hs","EC25_uScm",468.221
"Hs","Density_kgm3",999.88
"Hs","Chla_ugL",24.36
"Hs","Turbidity_FTU",8.39
"Hs","DO_pc",0.73
"Hs","DO_mgL",0.081
"Hs","Depth_m",8.4
"Hs","T_C",10.258
"Hs","Salinity",0.213
"Hs","Cond_uScm",0.3172
"Hs","EC25_uScm",469.509
"Hs","Density_kgm3",999.886
"Hs","Chla_ugL",23.71
"Hs","Turbidity_FTU",7.79
"Hs","DO_pc",0.59
"Hs","DO_mgL",0.066
"Hs","Depth_m",8.5
"Hs","T_C",10.159
"Hs","Salinity",0.213
"Hs","Cond_uScm",0.3162
"Hs","EC25_uScm",469.502
"Hs","Density_kgm3",999.895
"Hs","Chla_ugL",22.67
"Hs","Turbidity_FTU",7.92
"Hs","DO_pc",0.53
"Hs","DO_mgL",0.059
"Hs","Depth_m",8.6
"Hs","T_C",10.121
"Hs","Salinity",0.213
"Hs","Cond_uScm",0.3159
"Hs","EC25_uScm",469.555
"Hs","Density_kgm3",999.899
