"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
20.7,9.019,0.213,0.3071,473.588,1000.048,2.04,2.71,0.08,0.009,"Sc"
20.8,9.016,0.213,0.3072,473.844,1000.049,2.03,2.67,0.07,0.009,"Sc"
20.9,9.014,0.213,0.3071,473.697,1000.05,2.03,2.67,0.07,0.007,"Sc"
21,9.016,0.213,0.3072,473.77,1000.05,2.03,2.66,0.07,0.008,"Sc"
21.1,9.015,0.213,0.3073,473.967,1000.051,2.12,2.94,0.07,0.008,"Sc"
21.2,9.013,0.213,0.3072,473.884,1000.051,2.06,2.82,0.07,0.008,"Sc"
21.3,9.01,0.213,0.3071,473.773,1000.052,2.01,2.68,0.07,0.008,"Sc"
21.4,9.003,0.213,0.3071,473.835,1000.053,2.01,2.7,0.07,0.008,"Sc"
21.5,8.99,0.213,0.307,473.993,1000.054,1.99,2.71,0.07,0.008,"Sc"
21.6,8.981,0.213,0.3069,473.987,1000.055,1.99,2.73,0.07,0.008,"Sc"
21.7,8.973,0.213,0.3071,474.324,1000.057,1.96,2.71,0.08,0.009,"Sc"
21.8,8.959,0.213,0.3072,474.739,1000.058,1.98,2.71,0.07,0.009,"Sc"
21.9,8.952,0.213,0.3072,474.922,1000.059,2,2.71,0.07,0.008,"Sc"
22,8.95,0.214,0.3073,475.093,1000.06,2.11,2.96,0.08,0.009,"Sc"
22.1,8.951,0.214,0.3075,475.284,1000.061,2.11,3.01,0.07,0.008,"Sc"
22.2,8.948,0.214,0.3075,475.384,1000.061,2.06,2.84,0.07,0.008,"Sc"
22.3,8.947,0.214,0.3075,475.374,1000.062,2.01,2.77,0.07,0.008,"Sc"
22.4,8.933,0.214,0.3075,475.665,1000.063,2.02,2.82,0.07,0.008,"Sc"
22.5,8.928,0.214,0.3075,475.763,1000.064,2.02,2.78,0.08,0.01,"Sc"
